date,room,time,group,class,session,tutor
2025-03-10,LI6,09:00-10:30,1i,Conference,2,MS/KA
2025-03-10,LI6,10:45-12:15,1i,Conference,2,MS/KA
2025-03-10,LI6,12:45-14:15,1ii,Conference,2,MS
2025-03-10,LI6,14:30-16:00,1ii,Conference,2,MS
2025-03-10,LI7,09:00-10:30,2i,Conference,2,SS
2025-03-10,LI7,10:45-12:15,2i,Conference,2,SS
2025-03-10,LI7,12:45-14:15,2ii,Conference,2,SS
2025-03-10,LI7,14:30-16:00,2ii,Conference,2,SS
2025-03-10,LI8,09:00-10:30,3i,Conference,2,GVS/MM
2025-03-10,LI8,10:45-12:15,3i,Conference,2,GVS/MM
2025-03-10,LI8,12:45-14:15,3ii,Conference,2,GVS
2025-03-10,LI8,14:30-16:00,3ii,Conference,2,GVS
2025-03-10,LI9,09:00-10:30,1iii,Conference,2,EA/MF
2025-03-10,LI9,10:45-12:15,1iii,Conference,2,EA/MF
2025-03-10,LI9,12:45-14:15,2iii,Conference,2,SB/MF
2025-03-10,LI9,14:30-16:00,2iii,Conference,2,SB/MF
2025-03-10,14 SS,09:00-10:30,3iii,Conference,2,DK
2025-03-10,14 SS,10:45-12:15,3iii,Conference,2,DK
2025-03-10,14 SS,12:45-14:15,13ii,Conference,2,DK
2025-03-10,14 SS,14:30-16:00,13ii,Conference,2,DK
2025-03-10,GH,09:00-10:30,12,Civil Advocacy,2,RS/BP
2025-03-10,GH,10:45-12:15,10,Civil Advocacy,2,RS
2025-03-10,GH,14:30-16:00,9,Civil Advocacy,2,RS
2025-03-10,GBIRK,09:00-10:30,13,Criminal Advocacy,3,PA
2025-03-10,GBIRK,10:45-12:15,8,Criminal Advocacy,3,PA
2025-03-10,GBIRK,12:45-14:15,7,Criminal Advocacy,3,PA
2025-03-10,GBIRK,14:30-16:00,6,Criminal Advocacy,3,PA
2025-03-11,LI6,09:00-10:30,6iii,Conference,2,MM
2025-03-11,LI6,10:45-12:15,6iii,Conference,2,MM
2025-03-11,LI6,12:45-14:15,13i,Conference,2,MS
2025-03-11,LI6,14:30-16:00,13i,Conference,2,MS
2025-03-11,LI7,09:00-10:30,4ii,Conference,2,SB
2025-03-11,LI7,10:45-12:15,4ii,Conference,2,SB
2025-03-11,LI7,12:45-14:15,5ii,Conference,2,SB
2025-03-11,LI7,14:30-16:00,5ii,Conference,2,SB
2025-03-11,LI8,09:00-10:30,4i,Conference,2,DK
2025-03-11,LI8,10:45-12:15,4i,Conference,2,DK
2025-03-11,LI8,12:45-14:15,5i,Conference,2,GVS
2025-03-11,LI8,14:30-16:00,5i,Conference,2,GVS
2025-03-11,LI9,09:00-10:30,4iii,Conference,2,EA
2025-03-11,LI9,10:45-12:15,4iii,Conference,2,EA
2025-03-11,LI9,12:45-14:15,5iii,Conference,2,EA
2025-03-11,LI9,14:30-16:00,5iii,Conference,2,EA
2025-03-11,14 SS,09:00-10:30,6i,Conference,2,SS
2025-03-11,14 SS,10:45-12:15,6i,Conference,2,SS
2025-03-11,14 SS,12:45-14:15,8ii,Conference,2,SS
2025-03-11,14 SS,14:30-16:00,8ii,Conference,2,SS
2025-03-11,GH,09:00-10:30,8,Civil Advocacy,2,MJ
2025-03-11,GH,10:45-12:15,3,Civil Advocacy,2,MJ
2025-03-11,GH,14:30-16:00,2,Civil Advocacy,2,MJ
2025-03-11,GRH,09:00-10:30,7,Civil Advocacy,2,RS
2025-03-11,GRH,10:45-12:15,11,Civil Advocacy,2,RS
2025-03-11,GRH,14:30-16:00,4,Civil Advocacy,2,RS
2025-03-11,GBIRK,09:00-10:30,9,Criminal Advocacy,3,PA
2025-03-11,GBIRK,10:45-12:15,12,Criminal Advocacy,3,PA
2025-03-11,GBIRK,14:30-16:00,10,Criminal Advocacy,3,PA
2025-03-11,GBING1,09:00-10:30,13,Legal Research,2,BP
2025-03-11,GBING1,12:45-14:15,12,Legal Research,2,AF
2025-03-11,GBING1,14:30-16:00,11,Legal Research,2,AF
2025-03-12,LI6,09:00-10:30,9iii,Conference,2,MM
2025-03-12,LI6,10:45-12:15,9iii,Conference,2,MM
2025-03-12,LI7,09:00-10:30,7ii,Conference,2,MS
2025-03-12,LI7,10:45-12:15,7ii,Conference,2,MS
2025-03-12,LI7,12:45-14:15,6ii,Conference,2,MS
2025-03-12,LI7,14:30-16:00,6ii,Conference,2,MS
2025-03-12,LI8,09:00-10:30,9i,Conference,2,EA
2025-03-12,LI8,10:45-12:15,9i,Conference,2,EA
2025-03-12,LI8,12:45-14:15,13iii,Conference,2,EA
2025-03-12,LI8,14:30-16:00,13iii,Conference,2,EA
2025-03-12,LI9,09:00-10:30,7iii,Conference,2,SB
2025-03-12,LI9,10:45-12:15,7iii,Conference,2,SB
2025-03-12,LI9,12:45-14:15,8iii,Conference,2,SB
2025-03-12,LI9,14:30-16:00,8iii,Conference,2,SB
2025-03-12,LI10,09:00-10:30,7i,Conference,2,DK
2025-03-12,LI10,10:45-12:15,7i,Conference,2,DK
2025-03-12,LI10,12:45-14:15,8i,Conference,2,DK
2025-03-12,LI10,14:30-16:00,8i,Conference,2,DK
2025-03-12,14 SS,12:45-14:15,9ii,Conference,2,MF
2025-03-12,14 SS,14:30-16:00,9ii,Conference,2,MF
2025-03-12,GH,09:00-10:30,1,Legal Research,2,AU
2025-03-12,GH,10:45-12:15,3,Legal Research,2,AU
2025-03-12,GH,14:30-16:00,5,Legal Research,2,AU
2025-03-12,GRH,09:00-10:30,2,Legal Research,2,AF
2025-03-12,GRH,10:45-12:15,4,Legal Research,2,AF
2025-03-12,GRH,14:30-16:00,10,Legal Research,2,AF
2025-03-12,GBIRK,09:00-10:30,6,Civil Advocacy,2,MJ
2025-03-12,GBIRK,10:45-12:15,5,Civil Advocacy,2,MJ
2025-03-12,GBIRK,14:30-16:00,1,Civil Advocacy,2,MJ
2025-03-12,GBING1,09:00-10:30,3,Criminal Advocacy,3,PA
2025-03-12,GBING1,10:45-12:15,11,Criminal Advocacy,3,PA
2025-03-12,GBING1,14:30-16:00,4,Criminal Advocacy,3,PA
2025-03-13,LI6,09:00-10:30,10ii,Conference,2,KAJ
2025-03-13,LI6,10:45-12:15,10ii,Conference,2,KAJ
2025-03-13,LI7,09:00-10:30,12ii,Conference,2,SS
2025-03-13,LI7,10:45-12:15,12ii,Conference,2,SS
2025-03-13,LI8,09:00-10:30,10iii,Conference,2,EA
2025-03-13,LI8,10:45-12:15,10iii,Conference,2,EA
2025-03-13,LI8,12:45-14:15,11iii,Conference,2,EA
2025-03-13,LI8,14:30-16:00,11iii,Conference,2,EA
2025-03-13,LI9,09:00-10:30,12i,Conference,2,SB
2025-03-13,LI9,10:45-12:15,12i,Conference,2,SB
2025-03-13,LI9,12:45-14:15,12iii,Conference,2,SB
2025-03-13,LI9,14:30-16:00,12iii,Conference,2,SB
2025-03-13,LI10,09:00-10:30,10i,Conference,2,GVS
2025-03-13,LI10,10:45-12:15,10i,Conference,2,GVS
2025-03-13,LI10,12:45-14:15,11i,Conference,2,GVS
2025-03-13,LI10,14:30-16:00,11i,Conference,2,GVS
2025-03-13,14 SS,09:00-10:30,13,Civil Advocacy,2,AF
2025-03-13,14 SS,12:45-14:15,11ii,Conference,2,MS
2025-03-13,14 SS,14:30-16:00,11ii,Conference,2,MS
2025-03-13,GH,09:00-10:30,7,Legal Research,2,AU
2025-03-13,GH,10:45-12:15,9,Legal Research,2,AU
2025-03-13,GH,14:30-16:00,6,Legal Research,2,AU
2025-03-13,GRH,09:00-10:30,8,Legal Research,2,BP
2025-03-13,GBIRK,09:00-10:30,5,Criminal Advocacy,3,PA
2025-03-13,GBIRK,10:45-12:15,1,Criminal Advocacy,3,PA
2025-03-13,GBIRK,14:30-16:00,2,Criminal Advocacy,3,PA
2025-03-17,LI6,09:00-10:30,8i,Criminal Advocacy,4,MS
2025-03-17,LI6,10:45-12:15,3ii,Criminal Advocacy,4,MS
2025-03-17,LI6,14:30-16:00,7iii,Criminal Advocacy,4,MS
2025-03-17,LI7,09:00-10:30,3i,Criminal Advocacy,4,SS
2025-03-17,LI7,10:45-12:15,7ii,Criminal Advocacy,4,SS
2025-03-17,LI7,14:30-16:00,2iii,Criminal Advocacy,4,SS
